load_cell, time_of_flight, time
-180593, 804.57, 14:43:58
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:44:46
Time of Flight..., 14:44:46
 success!, 14:44:46
Load Cell... success!, 14:44:46
Sensors initiated!, 14:44:46
-171437, 804.41, 14:44:47
-188371, 806.54, 14:44:48
-188009, 805.35, 14:44:49
-187483, 807.24, 14:44:50
-188237, 805.04, 14:44:51
-187595, 807.68, 14:44:52
-187663, 806.69, 14:44:53
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:45:56
Time of Flight..., 14:45:56
 success!, 14:45:57
Load Cell... success!, 14:45:57
Sensors initiated!, 14:45:57
-165795, 804.76, 14:45:58
-180713, 805.35, 14:45:59
-181105, 805.08, 14:46:00
-181111, 805.24, 14:46:01
-181031, 806.73, 14:46:02
-180735, 806.73, 14:46:03
-180103, 805.16, 14:46:04
-180971, 807.72, 14:46:05
-180841, 805.59, 14:46:06
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:46:19
Time of Flight..., 14:46:19
 success!, 14:46:19
Load Cell... success!, 14:46:19
Sensors initiated!, 14:46:19
-61913, 803.86, 14:46:20
-65027, 803.07, 14:46:21
-65857, 804.25, 14:46:22
-65333, 803.07, 14:46:23
-64725, 804.53, 14:46:24
-64609, 803.78, 14:46:25
-65311, 804.80, 14:46:26
-65015, 805.04, 14:46:27
-65189, 805.04, 14:46:28
-65095, 805.20, 14:46:29
-64645, 802.52, 14:46:30
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:47:43
Time of Flight..., 14:47:43
 success!, 14:47:43
Load Cell... success!, 14:47:43
Sensors initiated!, 14:47:43
-65857, 804.25, 14:47:44
-71307, 806.34, 14:47:45
-70945, 803.43, 14:47:46
-71209, 806.02, 14:47:47
-71627, 803.58, 14:47:48
-71013, 804.57, 14:47:49
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:48:08
Time of Flight..., 14:48:08
 success!, 14:48:08
Load Cell... success!, 14:48:08
Sensors initiated!, 14:48:08
-170615, 805.83, 14:48:09
-187229, 805.00, 14:48:10
-186939, 802.76, 14:48:11
-186381, 804.49, 14:48:12
-186011, 803.98, 14:48:13
-186391, 805.71, 14:48:14
-186321, 805.59, 14:48:15
-186673, 804.37, 14:48:16
-186227, 803.46, 14:48:17
-186855, 805.47, 14:48:18
-185911, 806.06, 14:48:19
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:48:54
Time of Flight..., 14:48:54
 success!, 14:48:54
Load Cell... success!, 14:48:54
Sensors initiated!, 14:48:54
-273683, 807.64, 14:48:55
-302159, 804.13, 14:48:56
-302233, 804.21, 14:48:57
-301979, 806.65, 14:48:58
-302657, 807.56, 14:48:59
-301243, 805.00, 14:49:00
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 14:52:52
Time of Flight..., 14:52:52
 success!, 14:52:52
Load Cell... success!, 14:52:52
Sensors initiated!, 14:52:52
-63239, 807.91, 14:52:53
-67393, 807.05, 14:52:54
-68269, 807.01, 14:52:55
-67995, 809.96, 14:52:56
-67299, 807.44, 14:52:57
-68151, 806.65, 14:52:58
-68593, 807.76, 14:52:59
-67993, 805.79, 14:53:00
-68191, 805.51, 14:53:01
-68317, 682.76, 14:53:02
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 15:22:43
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 15:23:19
Time of Flight..., 15:23:19
 failed to begin. Please check wiring. Freezing..., 15:23:19
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 15:23:46
Time of Flight..., 15:23:46
 failed to begin. Please check wiring. Freezing..., 15:23:46
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 15:24:45
Time of Flight..., 15:24:45
 success!, 15:24:45
Load Cell... success!, 15:24:45
Sensors initiated!, 15:24:45
-980743, 848.70, 15:24:46
-1159629, 848.31, 15:24:47
-1159233, 847.24, 15:24:48
-1158683, 848.39, 15:24:49
-1159037, 847.87, 15:24:50
-1158965, 847.13, 15:24:51
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 15:25:17
Time of Flight..., 15:25:17
 success!, 15:25:17
Load Cell... success!, 15:25:17
Sensors initiated!, 15:25:17
-269849, 846.10, 15:25:18
-296263, 847.36, 15:25:19
-295137, 846.18, 15:25:20
-296135, 847.28, 15:25:21
-296365, 845.35, 15:25:22
-296411, 846.50, 15:25:23
-297235, 846.14, 15:25:24
load_cell, time_of_flight, time
1365.3 + 0 > 1365.3 + 2625.9
IAC Sensor kit, v1.0, 15:26:05
Time of Flight..., 15:26:05
 success!, 15:26:05
Load Cell... success!, 15:26:06
Sensors initiated!, 15:26:06
-468443, 846.14, 15:26:07
-517071, 846.77, 15:26:08
-516975, 846.73, 15:26:09
-517717, 846.46, 15:26:09
-516951, 845.00, 15:26:10
-516607, 846.61, 15:26:11
